band_name,fans,formed,origin,split,style
Iron Maiden,4195,1975,United Kingdom,,"New wave of british heavy,Heavy"
Opeth,4147,1990,Sweden,1990,"Extreme progressive,Progressive rock,Progressive"
Metallica,3712,1981,USA,,"Heavy,Bay area thrash"
Megadeth,3105,1983,USA,1983,"Thrash,Heavy,Hard rock"
Amon Amarth,3054,1988,Sweden,,Melodic death
Slayer,2955,1981,USA,1981,Thrash
Death,2690,1983,USA,2001,"Progressive death,Death,Progressive thrash"
Dream Theater,2329,1985,USA,1985,Progressive
Black Sabbath,2307,1968,United Kingdom,,"Doom,Heavy,Hard rock"
Nightwish,2183,1996,Finland,1996,"Symphonic power,Gothic,Symphonic"
Children Of Bodom,2153,1993,Finland,,Extreme power
Judas Priest,2094,1969,United Kingdom,1969,"Heavy,Hard rock"
Blind Guardian,2040,1984,Germany,,"Power,Speed"
In Flames,1932,1990,Sweden,1990,"Gothenburg,Alternative"
Pantera,1920,1981,USA,2003,"Heavy,Groove thrash,Groove metal"
Dark Tranquillity,1898,1989,Sweden,1989,Gothenburg
Agalloch,1881,1995,USA,2016,"Atmospheric black,Neofolk"
Ensiferum,1879,1995,Finland,1995,Extreme folk
Arch Enemy,1750,1996,Sweden,,Gothenburg
Katatonia,1735,1991,Sweden,1991,"Blackened doom,Death doom,Alternative rock,Gothic doom"
Behemoth,1721,1991,Poland,,"Death,Black,Blackened death"
Dimmu Borgir,1688,1993,Norway,1993,"Symphonic black,Black"
Kreator,1646,1982,Germany,,Teutonic thrash
Wintersun,1640,2004,Finland,2004,Extreme power
Insomnium,1547,1997,Finland,,Melodic death
Amorphis,1528,1990,Finland,1990,"Death,Melodic death,Folk,Progressive"
Kamelot,1520,1991,USA,,Symphonic power
Tool,1506,1988,USA,1988,"Progressive,Alternative"
Helloween,1501,1978,Germany,,"Speed,Power"
Testament,1500,1983,USA,1983,Bay area thrash
Epica,1450,2002,The Netherlands,,Symphonic
Immortal,1436,1990,Norway,1990,"Death,Black"
Lamb Of God,1433,1999,USA,,Groove thrash
Iced Earth,1403,1985,USA,1985,"Heavy,Us power"
Anathema,1400,1990,United Kingdom,,"Death doom,Atmospheric rock,Doom"
Symphony X,1343,1994,USA,1994,"Progressive,Symphonic power"
Eluveitie,1328,2002,Switzerland,,"Celtic folk,Gothenburg"
Gojira,1300,1996,France,1996,Progressive death
Rammstein,1251,1994,Germany,,Industrial
Sonata Arctica,1242,1996,Finland,1996,Power
Mastodon,1232,1999,USA,,"Progressive stoner,Progressive sludge"
Nile,1189,1993,USA,1993,"Brutal death,Technical death"
Sepultura,1185,1984,Brazil,,"Alternative,Death,Groove thrash,Thrash"
Moonspell,1173,1989,Portugal,1989,"Folk,Gothic black,Gothic,Symphonic black,Black"
Therion,1167,1987,Sweden,,"Death,Symphonic"
Cannibal Corpse,1162,1988,USA,1988,Death
Enslaved,1146,1991,Norway,,"Viking black,Progressive black"
Emperor,1132,1991,Norway,1991,"Black,Symphonic black"
Porcupine Tree,1094,1987,United Kingdom,,"Progressive rock,Progressive"
Cradle Of Filth,1084,1991,United Kingdom,1991,"Extreme gothic,Symphonic black,Death,Symphonic"
Iron Maiden,4195,1975,United Kingdom,,"New wave of british heavy,Heavy"
Opeth,4147,1990,Sweden,1990,"Extreme progressive,Progressive rock,Progressive"
Metallica,3712,1981,USA,,"Heavy,Bay area thrash"
Megadeth,3105,1983,USA,1983,"Thrash,Heavy,Hard rock"
Amon Amarth,3054,1988,Sweden,,Melodic death
Slayer,2955,1981,USA,1981,Thrash
Death,2690,1983,USA,2001,"Progressive death,Death,Progressive thrash"
Dream Theater,2329,1985,USA,1985,Progressive
Black Sabbath,2307,1968,United Kingdom,,"Doom,Heavy,Hard rock"
Nightwish,2183,1996,Finland,1996,"Symphonic power,Gothic,Symphonic"
Children Of Bodom,2153,1993,Finland,,Extreme power
Judas Priest,2094,1969,United Kingdom,1969,"Heavy,Hard rock"
Blind Guardian,2040,1984,Germany,,"Power,Speed"
In Flames,1932,1990,Sweden,1990,"Gothenburg,Alternative"
Pantera,1920,1981,USA,2003,"Heavy,Groove thrash,Groove metal"
Dark Tranquillity,1898,1989,Sweden,1989,Gothenburg
Agalloch,1881,1995,USA,2016,"Atmospheric black,Neofolk"
Ensiferum,1879,1995,Finland,1995,Extreme folk
Arch Enemy,1750,1996,Sweden,,Gothenburg
Katatonia,1735,1991,Sweden,1991,"Blackened doom,Death doom,Alternative rock,Gothic doom"
Behemoth,1721,1991,Poland,,"Death,Black,Blackened death"
Dimmu Borgir,1688,1993,Norway,1993,"Symphonic black,Black"
Kreator,1646,1982,Germany,,Teutonic thrash
Wintersun,1640,2004,Finland,2004,Extreme power
Insomnium,1547,1997,Finland,,Melodic death
Amorphis,1528,1990,Finland,1990,"Death,Melodic death,Folk,Progressive"
Kamelot,1520,1991,USA,,Symphonic power
Tool,1506,1988,USA,1988,"Progressive,Alternative"
Helloween,1501,1978,Germany,,"Speed,Power"
Testament,1500,1983,USA,1983,Bay area thrash
Epica,1450,2002,The Netherlands,,Symphonic
Immortal,1436,1990,Norway,1990,"Death,Black"
Lamb Of God,1433,1999,USA,,Groove thrash
Iced Earth,1403,1985,USA,1985,"Heavy,Us power"
Anathema,1400,1990,United Kingdom,,"Death doom,Atmospheric rock,Doom"
Symphony X,1343,1994,USA,1994,"Progressive,Symphonic power"
Eluveitie,1328,2002,Switzerland,,"Celtic folk,Gothenburg"
Gojira,1300,1996,France,1996,Progressive death
Rammstein,1251,1994,Germany,,Industrial
Sonata Arctica,1242,1996,Finland,1996,Power
Mastodon,1232,1999,USA,,"Progressive stoner,Progressive sludge"
Nile,1189,1993,USA,1993,"Brutal death,Technical death"
Sepultura,1185,1984,Brazil,,"Alternative,Death,Groove thrash,Thrash"
Moonspell,1173,1989,Portugal,1989,"Folk,Gothic black,Gothic,Symphonic black,Black"
Therion,1167,1987,Sweden,,"Death,Symphonic"
Cannibal Corpse,1162,1988,USA,1988,Death
Enslaved,1146,1991,Norway,,"Viking black,Progressive black"
Emperor,1132,1991,Norway,1991,"Black,Symphonic black"
Porcupine Tree,1094,1987,United Kingdom,,"Progressive rock,Progressive"
Cradle Of Filth,1084,1991,United Kingdom,1991,"Extreme gothic,Symphonic black,Death,Symphonic"
Be'lakor,1083,2004,Australia,,Melodic death
My Dying Bride,1069,1990,United Kingdom,1990,"Death doom,Gothic doom"
Led Zeppelin,1054,1968,United Kingdom,1980,"Progressive hard rock,Heavy,Blues rock"
Nevermore,1051,1991,USA,1991,"Heavy,Progressive,Thrash"
Stratovarius,1046,1982,Finland,,"Power,Heavy"
Paradise Lost,1042,1988,United Kingdom,1988,"Gothic,Electro gothic,Death doom"
Dio,1023,1982,USA,2010,Heavy
Kalmah,1004,1991,Finland,1991,"Extreme power,Melodic death"
Carcass,1001,1985,United Kingdom,,"Grindcore,Melodic death"
Burzum,978,1989,Norway,1989,"Black,Dark,Ambient,Ambient"
Anthrax,976,1981,USA,,"Thrash,Heavy"
Morbid Angel,975,1984,USA,1984,Death
Meshuggah,970,1987,Sweden,,"Technical thrash,Math,Progressive"
Finntroll,967,1997,Finland,1997,Extreme folk
Septicflesh,967,1990,Greece,,"Atmospheric death,Symphonic death"
Moonsorrow,966,1995,Finland,1995,Viking folk
Machine Head,957,1992,USA,,"Groove thrash,Progressive thrash"
System Of A Down,956,1995,USA,1995,Alternative
Within Temptation,956,1996,The Netherlands,,"Symphonic,Gothic"
Bathory,942,1983,Sweden,1983,"Viking black,First wave of black"
Exodus,937,1980,USA,,Bay area thrash
Draconian,936,1994,Sweden,1994,Gothic doom
Slipknot,928,1995,USA,,"Alternative,Nu"
AC/DC,923,1973,Australia,1973,"Hard rock,Blues rock"
Ayreon,903,1995,The Netherlands,,Progressive
Swallow The Sun,900,2000,Finland,2000,"Melodic death,Melodic doom"
Gamma Ray,898,1988,Germany,,Power
Rhapsody Of Fire,896,1993,Italy,1993,Symphonic power
Hypocrisy,885,1990,Sweden,,"Death,Melodic death,Gothenburg"
Motörhead,875,1975,"United Kingdom, USA",1975,Heavy
Bloodbath,872,1998,Sweden,,Death
Korpiklaani,864,2003,Finland,2003,Folk
